,elbo,pre_g_mean,pre_acsa,o_g_mean,o_acsa
142,-87.960205,0.8529934,0.85982084,0.7923637,0.80307823
143,-87.140015,0.85720766,0.86626065,0.7957234,0.80642575
144,-87.606766,0.85817397,0.8683432,0.7807927,0.79308873
145,-87.39554,0.8625292,0.87072015,0.7801343,0.79479635
146,-87.57745,0.85726696,0.8650316,0.7934219,0.8067564
147,-86.66624,0.8534814,0.8617894,0.7815047,0.79419523
148,-87.33852,0.867274,0.87486273,0.7764696,0.78822434
149,-86.982475,0.8603808,0.8717498,0.7802454,0.7922972
150,-87.91272,0.85882753,0.86736757,0.78338903,0.7949684
151,-87.46808,0.86452246,0.8730234,0.7772325,0.7884272
152,-87.48518,0.8650182,0.8746179,0.78571457,0.79792595
153,-87.67116,0.8589306,0.86772794,0.78111845,0.79584706
154,-87.22242,0.8602947,0.86930245,0.7763259,0.7863758
155,-87.10452,0.8639819,0.87407315,0.7800279,0.79081047
156,-87.037315,0.8641753,0.87249315,0.78570706,0.796287
157,-87.19951,0.86204356,0.87148714,0.78194064,0.79437363
158,-87.169525,0.86513805,0.8746399,0.78221494,0.7927909
159,-87.24828,0.8548912,0.8655207,0.77842444,0.7907041
160,-86.953445,0.8662735,0.8761163,0.78582805,0.7977466
161,-87.82732,0.865008,0.87405103,0.7810037,0.78988695
162,-87.04587,0.86014104,0.86842555,0.77716374,0.7889161
163,-86.88233,0.8573484,0.866271,0.7765714,0.78746796
164,-87.72766,0.8649004,0.8747384,0.7886837,0.801238
165,-87.65206,0.8644101,0.87320054,0.781422,0.7908301
166,-87.456085,0.86699057,0.8763673,0.78439677,0.79613256
167,-86.9913,0.8573592,0.8682644,0.77890015,0.79214185
168,-87.33399,0.8632587,0.87228626,0.78527915,0.80104023
169,-86.96716,0.8590125,0.86819,0.7807715,0.79261017
170,-87.65641,0.8596208,0.86660165,0.7860714,0.7984149
171,-87.42864,0.8542382,0.8654091,0.7801852,0.794018
172,-86.688644,0.864085,0.87301946,0.78309834,0.793261
173,-87.31348,0.85607326,0.86457086,0.78150177,0.7938229
174,-86.598495,0.85964537,0.8690583,0.7828191,0.79609406
175,-87.0435,0.8527006,0.863466,0.7814125,0.79429495
176,-87.25011,0.85647887,0.8674027,0.78540576,0.7986631
177,-87.131905,0.8568082,0.86514914,0.78277296,0.7959786
178,-86.621346,0.85402215,0.8650347,0.77963114,0.79200053
